edge	TN	FP	FN	TP	p	r	type	method	change	X11	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN	CU	True	recall	precision	f1	acc	fpr	fnr	expanded	ilr	sc	cu_bin	p_bin
N113	1200	0	3	297	0.2	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	297	0.99	1	0.994974874371859	0.998	0	0.01	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1275	0	225	0	0.15	1	recombination_rate_change	Phlag	10x increase	2.84787201881409	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	0	0	NA	0	0.85	0	1	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1219	56	224	1	0.15	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	57	0.00444444444444444	0.0175438596491228	0.00709219858156028	0.813333333333333	0.043921568627451	0.995555555555556	TRUE	TRUE	FALSE	(1,Inf]	(0.05,0.15]
N113	1267	8	149	76	0.15	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	84	0.337777777777778	0.904761904761905	0.491909385113269	0.895333333333333	0.00627450980392157	0.662222222222222	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1251	24	224	1	0.15	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	25	0.00444444444444444	0.04	0.008	0.834666666666667	0.0188235294117647	0.995555555555556	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1200	0	300	0	0.2	1	recombination_rate_change	Phlag	10x increase	2.93812990188599	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	0	0	NA	0	0.8	0	1	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1343	7	100	50	0.1	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	57	0.333333333333333	0.87719298245614	0.483091787439614	0.928666666666667	0.00518518518518519	0.666666666666667	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1425	0	2	73	0.05	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	73	0.973333333333333	1	0.986486486486487	0.998666666666667	0	0.0266666666666667	TRUE	FALSE	TRUE	(1,Inf]	(0,0.05]
N113	1125	0	2	373	0.25	1	recombination_rate_change	Phlag	10x increase	3.01672840118408	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	373	0.994666666666667	1	0.997326203208556	0.998666666666667	0	0.00533333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1463	7	22	8	0.02	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	15	0.266666666666667	0.533333333333333	0.355555555555556	0.980666666666667	0.00476190476190476	0.733333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1425	0	2	73	0.05	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	73	0.973333333333333	1	0.986486486486487	0.998666666666667	0	0.0266666666666667	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1251	24	224	1	0.15	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	25	0.00444444444444444	0.04	0.008	0.834666666666667	0.0188235294117647	0.995555555555556	FALSE	FALSE	TRUE	(1,Inf]	(0.05,0.15]
N113	1275	0	2	223	0.15	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	223	0.991111111111111	1	0.995535714285714	0.998666666666667	0	0.00888888888888889	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
